Sl.No	Generic Name	Item Weight	Manufacturer	Product Title	Rating	Number of Ratings	Bought in Past Month	MRP	Discount	Final Price
152		200 g		LVA CREATIONS Fine pure Silver Currency Note coin bar of 2000 lakshmi ganesh laxmi with 999 Purity for gift in happy birthday gift & happy anniversary gift festive gift pack for pooja & Dhanteras diwali. gift for wife birthday wedding special : Amazon.in: Jewellery	4.0 out of 5 stars	93		₹999.00	-50%	495
153	Gold Coin	1 g	Joyalukkas India LTD	Joyalukkas 1gm 22K (916) Yellow Gold Coin with Hanuman Design : Amazon.in: Jewellery				₹9,000.00	-10%	8,100
154	Silver Coin 1 Gram	1 g	CHOTTEY LAL AND SONS	Buy CHOTTEY LAL AND SONS 999 Purity Ganesh Ji Silver Coin with Unique Box Packaging for Coporate Gifting, Diwali Puja, Ceremony, Wedding and Festivals (Silver, 1 Gram) at Amazon.in	4.1 out of 5 stars	4		₹399.00	-22%	312
155			Sri Jagdamba Pearls Dealer	Buy Sri Jagdamba Pearls 24KT Ram Mandir 10 Gram Yellow Gold Coin at Amazon.in						
156			No	PC Jeweller 5 Gram 24K (995) Yellow Gold Rose Coin : Amazon.in: Fashion				₹47,270.00	-7%	44,136
157	Gold Coin	1 g	Joyalukkas India LTD	Joyalukkas 1gm 22K (916) Yellow Gold Coin with Sai Baba Design : Amazon.in: Jewellery				₹9,000.00	-10%	8,100
158		10 g	Sri Jagdamba Pearls	24Kt (999) 10GM Laxmi Ganesh Gold Coin : Amazon.in: Fashion						
159			NAC JEWELLERS	Buy NAC JEWELLERS Gold Coin 22k (916) 1 gram on Honour of Chandrayaan-3's Success|1gm 916 Gold Coin | BIS hallmarked | 1 Gram Gold Coin at Amazon.in	5.0 out of 5 stars			₹9,856.00	-14%	8,509
160	Coin	1 g	PC Jeweller	PC Jeweller 22k (916) Yellow Gold Rose Coin : Amazon.in: Fashion				₹9,010.00	-7%	8,343
161	Gold Coin	1 g	Muthoot Pappachan	Buy Muthoot Pappachan Swarnavarsham Hallmarked 22KT Cross Gold Coin 1 Gm at Amazon.in				₹9,498.00	-13%	8,239
162			Sri Jagdamba Pearls Dealer	Buy Sri Jagdamba Pearls 24KT Ram Mandir 5 Gram Yellow Gold Coin at Amazon.in						
163			Sri Jagdamba Pearls	Sri JAgdamba Pearls 24Kt (999) 2GM Vishnu Gold Coin : Amazon.in: Fashion	5.0 out of 5 stars	2				
164			Sri Jagdamba Pearls	24Kt (999) 2GM Balaji Gold Coin : Amazon.in: Fashion						
165		400 g	No	KaratCraft 22k (916) 1 gm Yellow Gold Coin : Amazon.in: Fashion	5.0 out of 5 stars					
