Sl.No	Generic Name	Item Weight	Manufacturer	Product Title	Rating	Number of Ratings	Bought in Past Month	MRP	Discount	Final Price
81	Gold Coin	0.2 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold King Queen-Inscribed Foil Coin - 0.2 Gram at Amazon.in				₹3,266.00	-20%	2,604
82				Buy Manappuram Riti Jewellers 22K(916) Lakshmi 1.00 Gram Yellow Gold Coin at Amazon.in				₹8,500.00	-5%	8,114
83		400 g	No	PC Jeweller 2 Gram 24K (995) Yellow Gold Rose Coin : Amazon.in: Jewellery	4.2 out of 5 stars	19		₹19,944.00	-8%	18,272
84	FashionJewelry	0.5 g	Muthood PAPPACHAN	Buy Muthoot Pappachan Swarnavarsham Hallmarked 999 Gold Coin 0.5 Gm at Amazon.in	4.4 out of 5 stars	38		₹8,257.00	-42%	4,791
85	Gold Coin	1 g	Joyalukkas India LTD	Joyalukkas 1gm 22K (916) Yellow Gold Coin with FlowerDesign : Amazon.in: Jewellery				₹9,000.00	-10%	8,100
86	Coin	0.5 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Allah-Inscribed Foil Coin - 0.5 Gram at Amazon.in				₹6,164.00	-17%	5,120
87	Coin	0.05 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Laxmi Saraswati Ganesh-Inscribed Foil Coin - 0.05 Gram at Amazon.in	5.0 out of 5 stars	2		₹1,816.00	-26%	1,346
88		1.5 g		Buy Muthoot Pappachan Swarnavarsham Hallmarked 999 Gold Coin 1.5 Gm (0.5 Gm + 1 Gm) at Amazon.in				₹17,500.00	-23%	13,536
89		1.5 g		Buy Muthoot Pappachan Swarnavarsham Hallmarked 999 Gold Coin 1.5 Gm (0.5 Gm + 1 Gm) at Amazon.in				₹17,500.00	-23%	13,536
90		3 g	Bhima Jewels	Buy Bhima Jewels 24K 999 Purity Flower Coin Combo 2g+1g at Amazon.in						26,449
91	Coin	0.5 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Swastik-Inscribed Foil Coin - 0.5 Gram at Amazon.in				₹6,164.00	-17%	5,120
92	gold	398 g	No	PC Jeweller 24k (995) 2 gm Yellow Gold Coin : Amazon.in: Jewellery	3.3 out of 5 stars	19		₹19,944.00	-8%	18,272
93		37 g	P N Gadgil & Sons Ltd	P N Gadgil & Sons Ltd Gold 24 ct (995) Ganpati Coin (1grams) (Gold-Ganpati-Coin-1GM) : Amazon.in: Fashion	4.7 out of 5 stars	4		₹10,269.00	-12%	9,044
94		4 g	No	Kundan 4 gm Kalpataru Tree 24KT (999.9) Yellow Gold Coin : Amazon.in: Fashion	4.6 out of 5 stars	221		₹36,999.00	-5%	34,983
95	Gold Coins	1 g	Sree Kumaran Thangamaligai	Sree Kumaran Thangamaligai Yellow Pure Gold Coin 22k (916) 0.990 gram | BIS hallmarked | Secured package : Amazon.in: Jewellery				₹10,200.00	-19%	8,292
96	Coin	0.1 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Swastik-Inscribed Foil Coin - 0.1 Gram at Amazon.in	5.0 out of 5 stars			₹2,300.00	-23%	1,766
97		400 g	No	PC Jeweller 2 Gram 24K (995) Yellow Gold Rose Coin : Amazon.in: Jewellery	4.2 out of 5 stars	19		₹19,944.00	-8%	18,272
98		1.5 g		Buy Muthoot Pappachan Swarnavarsham Hallmarked 999 Gold Coin 1.5 Gm (0.5 Gm + 1 Gm) at Amazon.in				₹17,500.00	-23%	13,536
99		1 g		Bangalore Refinery 22kt BIS Hallmarked 1 Gram Lord Ganesh Gold Coin : Amazon.in: Jewellery	4.2 out of 5 stars	7		₹8,500.00	-3%	8,279
100		400 g	No	PC Jeweller 5 Gram 24K (995) Yellow Gold Auspicious Coin : Amazon.in: Fashion	4.1 out of 5 stars	2		₹47,270.00	-7%	44,136
101	Coin	0.1 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Laxmi Saraswati Ganesh-Inscribed Foil Coin - 0.1 Gram at Amazon.in	1.0 out of 5 stars	2		₹2,300.00	-23%	1,766
102	Gold Foil Coin	1 g	Bangalore Refinery (P) Ltd	Buy Bangalore Refinery 999 Purity 1 Gram Gold Foil Coin (3 in 1) at Amazon.in	2.0 out of 5 stars	2		₹9,500.00	-9%	8,654
103		399 g	No	Aucent by PC Jeweller 24k (995) Flower 2 gm Yellow Gold Coin : Amazon.in: Fashion	3.6 out of 5 stars	6		₹19,944.00	-8%	18,272
104				PC Jeweller 10 Gram 24K (995) Yellow Gold Precious Coin : Amazon.in: Jewellery	5.0 out of 5 stars			₹92,721.00	-5%	88,271
105	Coin	1 g	PC Jeweller	PC Jeweller 22k (916) Yellow Gold Precious Coin : Amazon.in: Fashion	3.6 out of 5 stars	3		₹9,010.00	-7%	8,343
106				Buy Manappuram Riti Jewellers 22K(916) Lakshmi 1.00 Gram Yellow Gold Coin at Amazon.in				₹8,500.00	-5%	8,114
107	gold	399 g		PC Jeweller 24k (995) 5 gm Yellow Gold Coin : Amazon.in: Jewellery	4.5 out of 5 stars	16		₹47,270.00	-7%	44,136
108		1 g	Bagnalore Refinery (P) Ltd	Bangalore Refinery 999 Purity 1 Gram Banyan Tree Gold Coin : Amazon.in: Jewellery	4.7 out of 5 stars	11		₹10,000.00	-12%	8,849
109		399 g		PC Jeweller 10 Gram 24K (995) Yellow Gold Fleur Coin : Amazon.in: Fashion	5.0 out of 5 stars			₹92,721.00	-5%	88,271
110		1 g	BHIMA	Buy BHIMA Jewellery 1gram 22kt Georgivs Head Gold Coin at Amazon.in	4.0 out of 5 stars	9		₹9,001.00	-9%	8,232
111	Laxmi Ji Coin	1 g	LBV	Buy LBV Lakshmi Ji 999 Purity Silver coins | 1,5,10 gm BIS Hallmark | With Gangajal in Gift Box for Pooja, Festivals, Corporate, Birthday Gift Items (1 gm Lakshmi Golden Coin) marriage wedding gift at Amazon.in	4.1 out of 5 stars	13		₹999.00	-55%	449
112			No	Sri Jagdamba Pearls 1 Gm 24kt (999) Yellow Gold Coin : Amazon.in: Fashion	2.8 out of 5 stars	3				
113	Coin	0.2 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Swastik-Inscribed Foil Coin - 0.2 Gram at Amazon.in				₹3,266.00	-20%	2,604
114	Silver Coin 1 Gram	1 g	CHOTTEY LAL AND SONS	Buy CHOTTEY LAL AND SONS Laxmi Ji 999 Pure Silver Coins with Box Packaging For Diwali Puja, Occasions, Festive Season, Opening Ceremony and Coporate Gifting (Silver, 1 Gram) at Amazon.in	4.1 out of 5 stars	18		₹399.00	-29%	284
115	Gold Coin	0.2 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Laxmi-Inscribed Foil Coin - 0.2 Gram at Amazon.in	5.0 out of 5 stars			₹3,266.00	-20%	2,604
116			No	PC Jeweller 24k (995) 5 gm Yellow Gold Coin : Amazon.in: Fashion				₹47,270.00	-7%	44,136
117			NAC JEWELLERS	NAC JEWELLERS 1 Gram Gold Coin | Yellow Pure Gold Coin 22k (916) 1 gram | Gold Coin 22k (916) 1 gm| BIS hallmarked | Secured package : Amazon.in: Jewellery	3.0 out of 5 stars			₹9,874.00	-16%	8,282
118		1 g	Waman Hari Pethe Jeweller - Mumbai	Buy WHP Jewellers 24 kt (999) 1 gm Vedani at Amazon.in				₹9,450.00	-2%	9,240
119	Gold Coin	0.2 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Ganesh-Inscribed Foil Coin - 0.2 Gram at Amazon.in	4.0 out of 5 stars			₹3,266.00	-20%	2,604
